tensor(978.3360, device='cuda:0', dtype=torch.float64)
tensor(1032.6893, device='cuda:0', dtype=torch.float64)
tensor(1183.8111, device='cuda:0', dtype=torch.float64)
tensor(-4047.5503, device='cuda:0', dtype=torch.float64)
tensor(890.4981, device='cuda:0', dtype=torch.float64)
tensor(945.7266, device='cuda:0', dtype=torch.float64)
tensor(1106.2045, device='cuda:0', dtype=torch.float64)
tensor(1124.6996, device='cuda:0', dtype=torch.float64)
tensor(-4116.7635, device='cuda:0', dtype=torch.float64)
tensor(873.1739, device='cuda:0', dtype=torch.float64)
tensor(965.1201, device='cuda:0', dtype=torch.float64)
tensor(1081.8903, device='cuda:0', dtype=torch.float64)
tensor(1163.0575, device='cuda:0', dtype=torch.float64)
tensor(-4056.3465, device='cuda:0', dtype=torch.float64)
tensor(883.2867, device='cuda:0', dtype=torch.float64)
tensor(1001.5912, device='cuda:0', dtype=torch.float64)
tensor(1075.2181, device='cuda:0', dtype=torch.float64)
tensor(1136.2906, device='cuda:0', dtype=torch.float64)
tensor(-4034.5166, device='cuda:0', dtype=torch.float64)
tensor(873.8937, device='cuda:0', dtype=torch.float64)
tensor(975.7678, device='cuda:0', dtype=torch.float64)
tensor(1068.1058, device='cuda:0', dtype=torch.float64)
tensor(1204.0623, device='cuda:0', dtype=torch.float64)
tensor(-3993.7857, device='cuda:0', dtype=torch.float64)
tensor(876.9281, device='cuda:0', dtype=torch.float64)
tensor(993.8697, device='cuda:0', dtype=torch.float64)
tensor(1061.1373, device='cuda:0', dtype=torch.float64)
tensor(1168.2304, device='cuda:0', dtype=torch.float64)
tensor(-4060.6166, device='cuda:0', dtype=torch.float64)
tensor(873.8632, device='cuda:0', dtype=torch.float64)
tensor(942.6998, device='cuda:0', dtype=torch.float64)
tensor(1082.0535, device='cuda:0', dtype=torch.float64)
tensor(1154.5239, device='cuda:0', dtype=torch.float64)
tensor(-4016.6360, device='cuda:0', dtype=torch.float64)
tensor(897.9714, device='cuda:0', dtype=torch.float64)
tensor(994.1705, device='cuda:0', dtype=torch.float64)
tensor(1091.7649, device='cuda:0', dtype=torch.float64)
tensor(1148.0859, device='cuda:0', dtype=torch.float64)
tensor(-4071.7824, device='cuda:0', dtype=torch.float64)
tensor(870.8567, device='cuda:0', dtype=torch.float64)
tensor(942.9645, device='cuda:0', dtype=torch.float64)
tensor(1099.6511, device='cuda:0', dtype=torch.float64)
tensor(1164.7910, device='cuda:0', dtype=torch.float64)
tensor(-4090.5054, device='cuda:0', dtype=torch.float64)
tensor(874.8115, device='cuda:0', dtype=torch.float64)
tensor(991.4950, device='cuda:0', dtype=torch.float64)
tensor(1128.3173, device='cuda:0', dtype=torch.float64)
tensor(1203.7486, device='cuda:0', dtype=torch.float64)
tensor(-4066.7210, device='cuda:0', dtype=torch.float64)
tensor(867.8363, device='cuda:0', dtype=torch.float64)
tensor(956.1592, device='cuda:0', dtype=torch.float64)
tensor(1044.4204, device='cuda:0', dtype=torch.float64)
tensor(1085.1235, device='cuda:0', dtype=torch.float64)
tensor(-4180.0970, device='cuda:0', dtype=torch.float64)
tensor(894.2591, device='cuda:0', dtype=torch.float64)
tensor(972.0262, device='cuda:0', dtype=torch.float64)
tensor(1039.7450, device='cuda:0', dtype=torch.float64)
tensor(1128.8504, device='cuda:0', dtype=torch.float64)
tensor(-4117.2888, device='cuda:0', dtype=torch.float64)
tensor(868.7338, device='cuda:0', dtype=torch.float64)
tensor(929.2419, device='cuda:0', dtype=torch.float64)
tensor(1058.5652, device='cuda:0', dtype=torch.float64)
tensor(1148.2283, device='cuda:0', dtype=torch.float64)
tensor(-4097.9619, device='cuda:0', dtype=torch.float64)
tensor(886.1692, device='cuda:0', dtype=torch.float64)
tensor(961.9155, device='cuda:0', dtype=torch.float64)
tensor(1080.0771, device='cuda:0', dtype=torch.float64)
tensor(1088.9552, device='cuda:0', dtype=torch.float64)
tensor(-4060.9270, device='cuda:0', dtype=torch.float64)
tensor(879.0113, device='cuda:0', dtype=torch.float64)
tensor(1001.8010, device='cuda:0', dtype=torch.float64)
tensor(1055.4780, device='cuda:0', dtype=torch.float64)
tensor(1134.6091, device='cuda:0', dtype=torch.float64)
tensor(-4031.1683, device='cuda:0', dtype=torch.float64)
tensor(870.0219, device='cuda:0', dtype=torch.float64)
tensor(980.2386, device='cuda:0', dtype=torch.float64)
tensor(1085.2412, device='cuda:0', dtype=torch.float64)
tensor(1114.7402, device='cuda:0', dtype=torch.float64)
tensor(-4017.4760, device='cuda:0', dtype=torch.float64)
tensor(879.7063, device='cuda:0', dtype=torch.float64)
tensor(943.8109, device='cuda:0', dtype=torch.float64)
tensor(1137.1077, device='cuda:0', dtype=torch.float64)
tensor(1164.1534, device='cuda:0', dtype=torch.float64)
tensor(-4059.0885, device='cuda:0', dtype=torch.float64)
tensor(885.9835, device='cuda:0', dtype=torch.float64)
tensor(997.5843, device='cuda:0', dtype=torch.float64)
tensor(1120.1163, device='cuda:0', dtype=torch.float64)
tensor(1196.6442, device='cuda:0', dtype=torch.float64)
tensor(-4005.1041, device='cuda:0', dtype=torch.float64)
tensor(872.8723, device='cuda:0', dtype=torch.float64)
tensor(928.9599, device='cuda:0', dtype=torch.float64)
tensor(1002.1881, device='cuda:0', dtype=torch.float64)
tensor(1110.5883, device='cuda:0', dtype=torch.float64)
tensor(-4046.5526, device='cuda:0', dtype=torch.float64)
tensor(872.2900, device='cuda:0', dtype=torch.float64)
tensor(945.2013, device='cuda:0', dtype=torch.float64)
tensor(1072.3523, device='cuda:0', dtype=torch.float64)
tensor(1113.8920, device='cuda:0', dtype=torch.float64)
tensor(-4104.8865, device='cuda:0', dtype=torch.float64)
tensor(883.7209, device='cuda:0', dtype=torch.float64)
tensor(989.3753, device='cuda:0', dtype=torch.float64)
tensor(1128.5746, device='cuda:0', dtype=torch.float64)
tensor(1155.4469, device='cuda:0', dtype=torch.float64)
tensor(-4033.4370, device='cuda:0', dtype=torch.float64)
tensor(873.0569, device='cuda:0', dtype=torch.float64)
